ID,Titre,Genre,Pays_origine,Budget,Recettes,Nombre_votes,Note_moyenne,Realisateurs,Acteurs_principaux,Date_sortie
42,400 Bullets,Action Guerre,,0.0,0.0,57.0,7.1,Tom Paton,"Jean-Paul Ly, Andrew Lee Potts, James Warren",2021
43,57 secondes,Thriller Science-Fiction Action,"Czech Republic, United States of America",0.0,0.0,790.0,6.05,Rusty Cundieff,"Josh Hutcherson, Morgan Freeman, Lovie Simone, Greg Germann, Bevin Bru",2023
44,65 : La Terre d'avant,Science-Fiction Aventure Thriller Action,"Canada, United States of America",45000000.0,60730568.0,3705.0,6.06,"Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King, Brian Dare",2023
45,7 Prisoners,Drame,,0.0,0.0,296.0,7.11,,,2021
46,7 Women and a Murder,Mystère Comédie,,0.0,0.0,171.0,5.62,,,2021
47,75 días,Drame Policier Historique Thriller,,0.0,69546.0,3.0,6.0,,,2022
48,77 Heartwarmings,Romance Drame,,0.0,4345693.0,1.0,6.0,,,2021
49,777 ಚಾರ್ಲಿ,Aventure Comédie Drame,India,0.0,0.0,73.0,7.57,Kiranraj K.,"Rakshit Shetty, Raj B Shetty, Bobby Simha, Sangeetha Sringeri, Bhargavi Narayan",2022
50,8,Horreur,,0.0,142725.0,67.0,6.2,,,2020
51,8-Bit Christmas,Familial Comédie,,0.0,0.0,278.0,6.7,Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn",2021
52,80 for Brady,Comédie,,28000000.0,29637811.0,8.0,5.2,,,2023
53,800,Drame,,4200000.0,0.0,0.0,,,,2023
54,83,Drame Historique Histoire,India,36786988.0,25452983.0,80.0,7.18,Kabir Khan,"Ranveer Singh, Pankaj Tripathi, Tahir Raj Bhasin, Jiiva, Saqib Saleem",2021
55,8:37 Rebirth,Policier,,1053000.0,0.0,0.0,,,,2021
56,9 Bullets,Action Thriller,,0.0,0.0,72.0,5.5,,,2022
57,9/11: Minute by Minute,Documentaire,,120000.0,0.0,1.0,8.0,,,2021
58,90 Minutes,Drame,,300000.0,0.0,0.0,,,,2020
59,97 Minutes,Action Thriller Drame,,7000000.0,0.0,64.0,4.9,,,2023
60,A Babysitter's Guide to Monster Hunting,Familial Fantastique Aventure Comédie,,0.0,0.0,259.0,6.21,,,2020
61,A Boy Called Christmas,Familial Aventure Fantastique,,0.0,0.0,600.0,7.4,Gil Kenan,"Maggie Smith, Isabella O'Sullivan, Joel Fry",2021
62,A California Christmas,Comédie Romance Drame,,0.0,0.0,276.0,6.4,,,2020
63,A California Christmas: City Lights,Romance Comédie Drame,,0.0,0.0,119.0,6.6,,,2021
64,A Call to Spy,Historique Policier Drame,,0.0,0.0,146.0,6.9,,,2020
65,A Castle for Christmas,Romance Comédie Familial,,0.0,0.0,251.0,6.0,,,2021
66,A Chiara,Drame,,0.0,0.0,67.0,7.1,,,2021
67,A Christmas Gift from Bob,Familial Drame,,0.0,0.0,66.0,6.8,,,2020
68,A Christmas Miracle for Daisy,Romance Comédie Familial TV Movie,,0.0,0.0,67.0,5.95,,,2021
69,A Christmas Story Christmas,Familial Comédie Drame,,0.0,0.0,98.0,6.6,,,2022
70,A Cinderella Story: Starstruck,Romance Comédie Musique,,0.0,0.0,111.0,7.18,,,2021
71,A Classic Horror Story,Horreur Mystère,,0.0,0.0,781.0,5.9,,,2021
72,A Clear Shot,Drame Thriller,,1100000.0,0.0,3.0,4.7,,,2020
73,A Crocodile Who Lived For 100 Days,Animation,,1831837.0,293094.0,1.0,10.0,,,2021
74,A Curious Tale,Mystère Thriller Horreur,,135000.0,0.0,0.0,,,,2021
75,A Day to Die,Action Thriller Policier,,98616.0,0.0,168.0,6.0,,,2022
76,A Dog Named Palma,Familial Romance,,0.0,0.0,159.0,8.2,,,2021
77,A Family,Policier Drame,,0.0,2168905.0,46.0,7.2,,,2021
78,A Friendly Tale...,Comédie,,0.0,0.0,110.0,5.7,,,2020
79,A Good Mother,Horreur Thriller,,50000.0,0.0,0.0,,,,2021
80,A Gruta,Horreur,,0.0,0.0,68.0,6.3,,,2020
81,A Guide to Dating at the End of the World,Comédie Romance Science-Fiction,,700000.0,0.0,1.0,7.0,,,2022
82,A Haunting in Venice,Mystère Thriller Policier,,60000000.0,110800000.0,742.0,6.79,,,2023
83,A Hero,Drame,,0.0,0.0,224.0,7.5,Asghar Farhadi,"Amir Jadidi, Mohsen Tanabandeh, Sahar Goldoost",2021
84,A House on the Bayou,Horreur Thriller,,0.0,0.0,105.0,5.75,,,2021
85,A Jazzman's Blues,Drame Romance,,0.0,0.0,95.0,7.7,,,2022
86,A Journal for Jordan,Drame Romance,"Canada, United States of America",25000000.0,6700000.0,191.0,7.11,Denzel Washington,"Michael B. Jordan, Chanté Adams, Jalon Christian, Robert Wisdom, Tamara Tunie",2021
87,A Killer Next Door,Thriller,,1000000.0,0.0,686.0,3.2,Andrew Jones,"Jason Gregg, Derek Nelson, Nigel Barber",2020
88,A Little White Lie,Comédie,,4000000.0,0.0,4.0,4.75,,,2023
89,A Loud House Christmas,Familial Comédie,,0.0,0.0,125.0,7.2,,,2021
90,A Man of Action,Drame Historique,,0.0,0.0,75.0,6.8,,,2022
91,A Man of Reason,Action Thriller Drame,,0.0,0.0,70.0,6.8,,,2023
92,A Mermaid in Paris,Romance Fantastique Drame Comédie,,0.0,0.0,163.0,6.5,,,2020
93,A Monstrous Family,Comédie Fantastique,,0.0,0.0,53.0,5.9,,,2021
94,A Mouthful of Air,Drame,,0.0,212833.0,44.0,6.3,Amy Koppelman,"Amanda Seyfried, Olivia Katz, Christian Kutz",2021
95,A Nice Girl Like You,Comédie Romance,,6100000.0,0.0,252.0,5.8,,,2020
96,A Night in the Fields,Drame,,155790.0,0.0,91.0,6.8,Guillaume Grélardon,"Jérémy Gillet, Félix Lefebvre, Nadia Tereszkiewicz",2020
97,A Night of Horror: Nightmare Radio,Horreur,,0.0,0.0,74.0,5.56,,,2020
98,A Nun's Curse,Horreur,,0.0,0.0,95.0,6.2,,,2020
99,A Patriot's Day,Drame,,84000.0,0.0,2.0,5.5,,,2021
100,A Perfect Enemy,Drame Mystère Thriller,,0.0,0.0,113.0,6.6,,,2021
101,A Perfect Fit,Romance Comédie Drame,,0.0,0.0,60.0,7.2,,,2021
102,A Perfect Pairing,Comédie Romance,,0.0,0.0,391.0,6.9,,,2022
103,A Real Job,Comédie Drame,,7600000.0,0.0,96.0,6.39,,,2023
104,A Rogue in Londinium,Drame Policier Historique Romance,,100000.0,0.0,0.0,,,,2021
105,A Secret Love,Documentaire,,0.0,0.0,101.0,7.38,,,2020
106,A Soldier's Revenge,Western,,5000000.0,0.0,10.0,5.8,,,2021
107,A Stalker in the House,Thriller,,400000.0,0.0,8.0,5.6,,,2021
108,A Thousand Pieces,Documentaire,,118500.0,0.0,0.0,,,,2020
109,A Week Away,Drame Familial Musique Romance,,0.0,0.0,314.0,6.95,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook",2021
110,A Week with Rebecca,Science-Fiction Romance,,110000.0,0.0,2.0,8.0,,,2020
111,A Werewolf in England,Horreur Comédie,,0.0,0.0,82.0,5.7,Charlie Steeds,"Reece Connolly, Tim Cartwright, Natalie Martins",2020
112,A Woman,Drame,,2700000.0,0.0,6.0,4.2,,,2022
113,A Working Man,Action Policier Thriller,"United Kingdom, United States of America",40000000.0,99068160.0,1327.0,6.69,David Ayer,"Jason Statham, Jason Flemyng, Merab Ninidze, Maximilian Osinski, Cokey Falkow",2025
114,A Writer's Odyssey,Fantastique Action Aventure Drame,China,0.0,150123320.0,524.0,7.13,路阳,"Jiayin Lei, 杨幂, 董子健, 于和伟, Guo Jingfei",2021
115,A Year-End Medley,Comédie Romance TV Movie,,0.0,0.0,131.0,7.1,,,2021
116,A un paso de mí,Aventure Comédie Drame,,0.0,0.0,51.0,7.0,,,2021
117,AEW Double or Nothing,Action Drame,,0.0,1000000.0,7.0,6.9,,,2022
118,AEW Revolution,Action Drame,,0.0,1000000.0,11.0,8.0,,,2022
119,AINBO: Spirit of the Amazon,Aventure Animation Familial Fantastique,,0.0,10237061.0,416.0,7.0,,,2021
120,ALL COPS AIN'T BAD,Comédie,,100000.0,350000.0,1.0,10.0,,,2020
121,AMC Theatres. We Make Movies Better,,,25000000.0,0.0,2.0,10.0,,,2021
122,ATL 2: The Homecoming,Drame Comédie Mystère,,3000000.0,31200000.0,2.0,10.0,,,2021
123,Aalto,Documentaire,,647000.0,0.0,8.0,6.4,,,2020
124,Abandoned,Horreur Mystère Thriller,,0.0,0.0,199.0,6.4,,,2022
125,Abigail,Horreur Thriller,United States of America,28000000.0,43015969.0,1603.0,6.7,"Tyler Gillett, Matt Bettinelli-Olpin","Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett, Kathryn Newton",2024
126,About Dry Grasses,Drame,,3720000.0,0.0,0.0,,,,2023
127,About Fate,Romance Comédie,,0.0,0.0,187.0,7.5,,,2022
128,About Joan,Drame Romance,,2285884.0,0.0,10.0,6.1,,,2022
129,About My Father,Comédie,,29100000.0,0.0,0.0,,,,2023
130,About Us,Romance Drame,,1500000.0,0.0,13.0,7.2,,,2020
131,About a Teacher,Drame,,145000.0,0.0,0.0,,,,2020
132,Absolution,Action Policier Thriller Mystère,United States of America,30000000.0,3854594.0,430.0,5.86,Hans Petter Moland,"Liam Neeson, Ron Perlman, Yolonda Ross, Frankie Shaw, Daniel Diemer",2024
133,Abyssal Spider,Thriller Science-Fiction Horreur,,2000000.0,0.0,5.0,5.2,,,2020
134,Acharya,Action Drame,,18000000.0,0.0,7.0,4.9,Koratala Siva,"Chiranjeevi, Ram Charan, Pooja Hegde",2022
135,Acting Saint Nicholas,Familial Musique,,60000.0,0.0,0.0,,,,2021
136,Acting: The First Six Lessons,Drame Documentaire Animation,,260000.0,0.0,10.0,0.0,Emily Bridges,"Jordan Bridges, Beau Bridges, Emily Bridges",2020
137,Acts of Revenge,Action,,220000.0,0.0,339.0,4.3,Cagan Kayi,"Richard Tyson, Matt Cinquanta, Kurt Sinclair",2020
138,Ad Vitam,Thriller Drame Policier Action,France,0.0,0.0,371.0,6.29,Rodolphe Lauga,"Guillaume Canet, Alexis Manenti, Stéphane Caillard, Nassim Lyes, Zita Hanrot",2025
139,Adam à travers le temps,Aventure Science-Fiction Action Comédie,United States of America,116000000.0,0.0,7960.0,7.04,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner, Zoe Saldaña",2022
140,Adipurush,Action Fantastique Aventure,,63000000.0,0.0,0.0,,,,2023
141,Adisu Sew (አዲሱ ሰው),,,500000.0,1200000.0,0.0,,,,2020
142,Adolescents,Documentaire,,0.0,0.0,69.0,7.3,,,2020
143,Adriela,Thriller Horreur,,1000000.0,0.0,0.0,,,,2021
144,Adventures Italian Style,Comédie Drame,,0.0,0.0,613.0,6.8,Antonio Pisu,"Lodo Guenzi, Jacopo Costantini, Matteo Gatta",2020
145,Adú,Drame,,0.0,0.0,253.0,6.9,,,2020
146,Affamés,Drame Horreur Mystère,United States of America,17000000.0,18867659.0,1996.0,6.25,Scott Cooper,"Keri Russell, Jesse Plemons, Jeremy T. Thomas, Graham Greene, Scott Haze",2021
147,Afire,Drame Romance,,0.0,2147526.0,51.0,7.1,,,2023
148,After - Chapitre 2,Romance Drame,United States of America,14000000.0,47990414.0,10259.0,7.19,Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard, Charlie Weber",2020
149,After - Chapitre 3,Romance Drame,"France, United States of America, Bulgaria",14000000.0,21753705.0,4772.0,7.07,Castille Landon,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Rob Estes",2021
150,After - Chapitre 4,Romance Drame,United States of America,14000000.0,19238073.0,2079.0,6.83,Castille Landon,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Rob Estes",2022
151,After - Chapitre 5,Romance Drame,United States of America,14000000.0,10644463.0,1521.0,6.94,Castille Landon,"Hero Fiennes Tiffin, Josephine Langford, Mimi Keene, Stephen Moyer, Louise Lombard",2023
152,After Blue,Science-Fiction Fantastique Western,,2700000.0,0.0,34.0,5.4,Bertrand Mandico,"Elina Löwensohn, Paula Luna, Vimala Pons",2021
153,After Love,Drame,,0.0,0.0,72.0,7.4,Aleem Khan,"Joanna Scanlan, Nathalie Richard, Talid Ariss",2021
154,After The End,Drame Thriller,,300000.0,0.0,0.0,,,,2020
155,After Yang,Science-Fiction Drame,,0.0,131465.0,238.0,6.5,,,2022
156,Afterlife of the Party,Fantastique Comédie Drame,,0.0,0.0,382.0,6.8,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott",2021
157,Aftermath,Action Thriller,United States of America,0.0,0.0,145.0,6.2,Patrick Lussier,"Dylan Sprouse, Mason Gooding, Dichen Lachman, Megan Stott, Kevin Chapman",2024
158,Aftermath,Horreur Policier Drame Thriller,,0.0,0.0,508.0,6.3,Peter Winther,"Ashley Greene, Shawn Ashmore, Jason Liles",2021
159,Aftersun,Drame,"United Kingdom, United States of America",0.0,7834405.0,2250.0,7.7,Charlotte Wells,"Paul Mescal, Frankie Corio, Brooklyn Toulson, Celia Rowlson-Hall, Sally Messham",2022
160,Afterward,Documentaire,,435000.0,0.0,0.0,,,,2020
161,Against the Ice,Drame Aventure Historique,,0.0,0.0,428.0,6.8,,,2022
162,Ageless Love,Romance Drame,,150000.0,0.0,111.0,5.6,Joshua Coates,"Nicholas Runfolo, Elizabeth Caponigro, Val McAdoo",2022
163,Agent Backkom: Kings Bear,Animation,,0.0,8500000.0,1.0,6.0,,,2021
164,Agent Game,Action Thriller,United States of America,0.0,0.0,191.0,5.1,Grant S. Johnson,"Mel Gibson, Dermot Mulroney, Adan Canto, Katie Cassidy, Jason Isaacs",2022
165,Agent Stone,Thriller Action,United States of America,0.0,0.0,1782.0,6.78,Tom Harper,"Gal Gadot, Jamie Dornan, Alia Bhatt, Sophie Okonedo, Matthias Schweighöfer",2023
166,Ah Girls Go Army,Comédie Drame,,1428000.0,1785000.0,1.0,6.0,,,2022
167,Aileen Wuornos: American Boogeywoman,Horreur Thriller,,0.0,0.0,67.0,5.15,,,2021
168,Air,Guerre Drame Historique,,7000000.0,0.0,0.0,,,,2023
169,Air,Drame Historique Histoire,United States of America,90000000.0,90100000.0,3104.0,7.36,Ben Affleck,"Matt Damon, Ben Affleck, Jason Bateman, Chris Messina, Viola Davis",2023
170,Airplane Mode,Comédie Drame Romance,,0.0,0.0,661.0,6.28,César Rodrigues,"Larissa Manoela, Erasmo Carlos, Katiuscia Canoro",2020
171,Ala Vaikunthapurramuloo,Action Comédie Drame,,14000000.0,28859072.0,56.0,6.9,,,2020
172,"Alana, déesse de justice",Action Aventure Drame Science-Fiction Fantastique,Indonesia,1242172.0,4577403.0,152.0,6.58,Upi Avianto,"Pevita Pearce, Reza Rahadian, Christine Hakim, Jefri Nichol, Dimas Anggara",2022
173,Alberto and the Concrete Jungle,Drame Comédie Aventure,,100000.0,0.0,0.0,,,,2020
174,Alcarràs,Drame,,0.0,0.0,102.0,7.0,Carla Simón,"Josep Abad, Jordi Pujol Dolcet, Anna Otin",2022
175,Alerte rouge,Animation Familial Comédie Fantastique,United States of America,175000000.0,21328962.0,10326.0,7.37,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park, Maitreyi Ramakrishnan",2022
176,Alibi.com 2,Comédie,,0.0,0.0,98.0,7.08,,,2023
177,Alice in Terrorland,Horreur Thriller,United Kingdom,0.0,0.0,190.0,5.97,Richard John Taylor,"Lizzy Willis, Rula Lenska, Jon-Paul Gates, Steve Wraith, Lila Sarner",2023
178,"Alice, Darling",Drame Thriller,,0.0,113346.0,50.0,6.1,Mary Nighy,"Anna Kendrick, Kaniehtiio Horn, Charlie Carrick",2022
179,Alick and Albert,Documentaire,,1020000.0,0.0,1.0,7.0,,,2021
180,Alien : Romulus,Horreur Science-Fiction,United States of America,80000000.0,350865342.0,4383.0,7.2,Fede Álvarez,"Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced, Spike Fearn",2024
181,Alien Xmas,Animation Familial Fantastique,,0.0,0.0,104.0,6.6,,,2020
182,Alienated,Science-Fiction Romance,,200000.0,0.0,626.0,5.2,Darryl Anka,"Michael Aaron Carico, Grace Lacey, Paul Hayes",2020
183,Alienoid : Les Protecteurs du Futur,Science-Fiction Action Fantastique Aventure,South Korea,24500000.0,12109608.0,580.0,6.9,최동훈,"Ryu Jun-yeol, Kim Woo-bin, 김태리, 소지섭, Yum Jung-ah",2022
184,Aliens vs. Bigfoot,Documentaire,,50000.0,0.0,0.0,,,,2021
185,Aline,Musique Comédie Drame,,25900000.0,11131254.0,260.0,6.9,,,2020
186,Alisa: Excitement,Documentaire,,100000.0,0.0,1.0,9.0,,,2020
187,Alive,Horreur Thriller,,0.0,0.0,105.0,6.2,David Marantz,"Ellen Hillman, Kian Pritchard, Neil Sheffield",2020
188,All,,,1200000.0,60500.0,0.0,,,,2020
189,All Aboard!,Comédie,,0.0,0.0,55.0,5.5,,,2021
190,All Day and a Night,Drame,,0.0,0.0,149.0,6.2,,,2020
191,All Fun and Games,Horreur Thriller,,0.0,165485.0,27.0,5.9,"Eren Celeboglu, Ari Costa","Asa Butterfield, Natalia Dyer, Benjamin Evan Ainsworth",2023
192,All Hail,Comédie Drame,,0.0,0.0,90.0,6.4,,,2022
193,All Hands on Deck!,Comédie,,0.0,0.0,51.0,6.8,,,2021
194,All Inclusive,Comédie,,371720.0,0.0,0.0,,,,2024
195,All My Friends Are Dead,Comédie Drame Thriller,,0.0,0.0,277.0,5.8,,,2020
196,All My Friends Hate Me,Comédie Thriller Horreur,,0.0,0.0,60.0,6.1,,,2022
197,All My Life,Romance Drame,,25000000.0,2000000.0,400.0,7.96,,,2020
198,All Together Now,Drame,,0.0,0.0,176.0,6.7,,,2020
199,All Too Well: The Short Film,Drame Musique,,0.0,0.0,181.0,8.32,,,2021
200,All is Calm,,,55000.0,0.0,1.0,10.0,,,2020
201,All the Moons,Drame Fantastique Horreur,,0.0,0.0,55.0,7.6,Igor Legarreta,"Elena Uriz, Miriam del Prado, Justi Larrinaga",2020
202,Alles in de Hens,,,93000.0,0.0,0.0,,,,2021
203,Alone,Thriller Horreur,United States of America,0.0,0.0,1456.0,6.35,John Hyams,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal, Katie O’Grady",2020
204,Alone,Thriller Horreur,United States of America,0.0,0.0,1456.0,6.35,John Hyams,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal, Katie O’Grady",2020
205,Alone,Horreur Thriller,,0.0,0.0,135.0,5.93,Johnny Martin,"Tyler Posey, Summer Spiro, Donald Sutherland",2020
206,Alone,Horreur Thriller,,0.0,0.0,135.0,5.93,Vladislav Khesin,"Elizabeth Arends, Sara Anne, Albina Katsman",2020
207,Along Came Love,Romance Drame,,9200000.0,0.0,0.0,,,,2023
208,Along Came Wanda,Drame Romance,,200000.0,0.0,3.0,4.7,,,2021
209,Along for the Ride,Romance Drame,,0.0,0.0,244.0,6.8,,,2022
210,Altered Carbon: Resleeved,Animation Science-Fiction,,0.0,0.0,226.0,6.5,,,2020
211,Always,Thriller,,80000.0,0.0,0.0,,,,2022
212,Ama'ara - the Song of the Whales,Documentaire,,117200.0,0.0,0.0,,,,2021
213,Amaran,Action Drame Aventure Guerre,India,14700000.0,39200000.0,235.0,7.37,Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Rahul Bose, Bhuvan Arora, Lallu Prasath",2024
214,Ambulance,Thriller Action Policier,United States of America,40000000.0,52303589.0,3710.0,6.71,Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt, Keir O'Donnell",2022
215,America Latina,Thriller,,0.0,0.0,173.0,6.2,,,2022
216,America's Forgotten,Documentaire,,700000.0,0.0,210.0,6.1,Namrata Singh Gujral,,2020
217,America: The Motion Picture,Animation Action Comédie,,0.0,0.0,190.0,5.8,,,2021
218,American Bigfoot,Aventure Comédie Action Mystère,,60000.0,0.0,0.0,,,,2022
219,American Desert,Drame Romance,,0.0,244000.0,0.0,,,,2021
220,American Dream,Drame,,500000.0,0.0,10.0,4.5,,,2021
221,American Murder: The Family Next Door,Documentaire Mystère Policier,,0.0,0.0,540.0,7.3,,,2020
222,American Nightmare 5 : Sans limites,Horreur Action Thriller,United States of America,18000000.0,76994245.0,4864.0,6.96,Everardo Gout,"Ana de la Reguera, Josh Lucas, Willow Beuoy, Leven Rambin, Will Patton",2021
223,American Pie présente : Girls Power,Comédie,United States of America,0.0,0.0,1167.0,6.23,Mike Elliott,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet",2020
224,American Royalty,Documentaire Historique,,250000.0,0.0,0.0,,,,2022
225,American Sicario,Policier Action,,0.0,0.0,81.0,6.0,,,2021
226,American Siege,Action Thriller Policier Drame,,0.0,0.0,117.0,5.6,,,2022
227,American Traitor: The Trial of Axis Sally,Historique Drame,,0.0,2011012.0,48.0,5.98,,,2021
228,American Underdog,Drame Familial,United States of America,25000000.0,26514814.0,540.0,7.2,"Andrew Erwin, Jon Erwin","Zachary Levi, Anna Paquin, Hayden Zaller, Ser'Darius Blain, Dennis Quaid",2021
229,American Wisper,Policier Thriller,,500000.0,0.0,4.0,4.8,,,2020
230,Amina,Guerre Historique Drame,,250000.0,0.0,124.0,6.5,,,2021
231,Ammonite,Romance Drame,,0.0,1396905.0,437.0,7.08,,,2020
232,Amor bandido,Thriller Romance,,0.0,0.0,103.0,6.7,,,2021
233,Amore mio,Drame,,1200000.0,0.0,0.0,,,,2023
234,Amour à Taipei,Romance Comédie Drame,"Taiwan, United States of America",0.0,0.0,79.0,6.89,陳駿霖,"Ashley Liao, Ross Butler, Nico Hiraga, Chelsea Zhang, Cindy Cheung",2023
235,Amsterdam,Comédie Policier Thriller Mystère Drame,United States of America,80000000.0,31245810.0,2737.0,6.1,David O. Russell,"Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola, Andrea Riseborough",2022
236,Amulet,Horreur,,0.0,0.0,94.0,5.47,,,2020
237,An American Pickle,Comédie Drame,United States of America,0.0,0.0,970.0,5.72,Brandon Trost,"Seth Rogen, Sarah Snook, Molly Evensen, Eliot Glazer, Kalen Allen",2020
238,An Autumn Romance,Romance Drame,,0.0,0.0,115.0,7.25,,,2021
239,An Egg Rescue,Animation Comédie Aventure Familial,,0.0,3606902.0,366.0,7.8,,,2021
